Data,Valoare EUR (exprimată in lei)
03.10.2021,
04.10.2021,4.9469
05.10.2021,4.9485
06.10.2021,4.9483
07.10.2021,4.9475
08.10.2021,4.9470
09.10.2021,
10.10.2021,
11.10.2021,4.9486
12.10.2021,4.9485
13.10.2021,4.9490
14.10.2021,4.9488
15.10.2021,4.9484
16.10.2021,
17.10.2021,
18.10.2021,4.9481
19.10.2021,4.9490
20.10.2021,4.9488
21.10.2021,4.9470
22.10.2021,4.9467
23.10.2021,
24.10.2021,
25.10.2021,4.9472
26.10.2021,4.9476
27.10.2021,4.9486
28.10.2021,4.9490
29.10.2021,4.9489
30.10.2021,
31.10.2021,
01.11.2021,4.9488
02.11.2021,4.9487
03.11.2021,4.9490
04.11.2021,4.9486
05.11.2021,4.9485
06.11.2021,
07.11.2021,
08.11.2021,4.9489
09.11.2021,4.9482
10.11.2021,4.9490
11.11.2021,4.9489
12.11.2021,4.9476
13.11.2021,
14.11.2021,
15.11.2021,4.9489
16.11.2021,4.9487
17.11.2021,4.9491
18.11.2021,4.9488
19.11.2021,4.9490
20.11.2021,
21.11.2021,
22.11.2021,4.9491
23.11.2021,4.9487
24.11.2021,4.9491
25.11.2021,4.9490
26.11.2021,4.9491
27.11.2021,
28.11.2021,
29.11.2021,4.9490
30.11.2021,
01.12.2021,
02.12.2021,4.9490
03.12.2021,4.9487
04.12.2021,
05.12.2021,
06.12.2021,4.9483
07.12.2021,4.9485
08.12.2021,4.9488
09.12.2021,4.9491
10.12.2021,4.9490
11.12.2021,
12.12.2021,
13.12.2021,4.9491
14.12.2021,4.9492
15.12.2021,4.9489
16.12.2021,4.9491
17.12.2021,4.9492
18.12.2021,
19.12.2021,
20.12.2021,4.9488
21.12.2021,4.9491
22.12.2021,4.9489
23.12.2021,4.9488
24.12.2021,4.9490
25.12.2021,
26.12.2021,
27.12.2021,4.9492
28.12.2021,4.9491
29.12.2021,4.9490
30.12.2021,4.9486
31.12.2021,4.9481
01.01.2022,
02.01.2022,
03.01.2022,4.9474
04.01.2022,4.9464
05.01.2022,4.9460
06.01.2022,4.9431
07.01.2022,4.9436
08.01.2022,
09.01.2022,
10.01.2022,4.9439
11.01.2022,4.9452
12.01.2022,4.9445
13.01.2022,4.9435
14.01.2022,4.9432
15.01.2022,
16.01.2022,
17.01.2022,4.9440
18.01.2022,4.9445
19.01.2022,4.9447
20.01.2022,4.9452
21.01.2022,4.9449
22.01.2022,
23.01.2022,
24.01.2022,
25.01.2022,4.9440
26.01.2022,4.9443
27.01.2022,4.9453
28.01.2022,4.9459
29.01.2022,
30.01.2022,
31.01.2022,4.9468
01.02.2022,4.9464
02.02.2022,4.9462
03.02.2022,4.9457
04.02.2022,4.9462
05.02.2022,
06.02.2022,
07.02.2022,4.9460
08.02.2022,4.9458
09.02.2022,4.9459
10.02.2022,4.9450
11.02.2022,4.9447
12.02.2022,
13.02.2022,
14.02.2022,4.9455
15.02.2022,4.9434
16.02.2022,4.9405
17.02.2022,4.9439
18.02.2022,4.9445
19.02.2022,
20.02.2022,
21.02.2022,4.9447
